DATA,DIA,TIPO,DESCRICAO,ESTADO,CODIGO_MUNICIPIO,ANO,MES,NOME_MES,FERIADO_NACIONAL
2021-12-08,8,MUNICIPAL,,SP,3500600.0,2021,12,December,Não
2021-07-27,27,MUNICIPAL,,SP,3500709.0,2021,7,July,Não
2021-04-04,4,MUNICIPAL,,SP,3500808.0,2021,4,April,Não
2021-11-20,20,MUNICIPAL, Lei Municipal nº 2.533/2010,SP,3500808.0,2021,11,November,Não
2021-12-24,24,MUNICIPAL,,SP,3500808.0,2021,12,December,Não
2021-01-20,20,MUNICIPAL,,SP,3500907.0,2021,1,January,Não
2021-11-20,20,MUNICIPAL,,SP,3500907.0,2021,11,November,Não
2021-12-08,8,MUNICIPAL,,SP,3500907.0,2021,12,December,Não
2021-12-31,31,MUNICIPAL,,SP,3500907.0,2021,12,December,Não
2021-03-09,9,MUNICIPAL,,SP,3501004.0,2021,3,March,Não
2021-09-15,15,MUNICIPAL,,SP,3501004.0,2021,9,September,Não
2021-11-20,20,MUNICIPAL,"Lei Municipal no 1.586, de 13/11/2007",SP,3501004.0,2021,11,November,Não
2021-06-24,24,MUNICIPAL,,SP,3501103.0,2021,6,June,Não
2021-08-15,15,MUNICIPAL,,SP,3501103.0,2021,8,August,Não
2021-04-02,2,MUNICIPAL,,SP,3501152.0,2021,4,April,Não
2021-04-10,10,MUNICIPAL,,SP,3501202.0,2021,4,April,Não
2021-06-24,24,MUNICIPAL,,SP,3501202.0,2021,6,June,Não
2021-03-19,19,MUNICIPAL,Dia de São José,SP,3501301.0,2021,3,March,Não
2021-11-30,30,MUNICIPAL,,SP,3501301.0,2021,11,November,Não
2021-11-22,22,MUNICIPAL,,SP,3501400.0,2021,11,November,Não
2021-06-13,13,MUNICIPAL,,SP,3501509.0,2021,6,June,Não
2021-08-08,8,MUNICIPAL,,SP,3501509.0,2021,8,August,Não
2021-04-02,2,MUNICIPAL,Sexta-Feira Santa,SP,3501608.0,2021,4,April,Não
2021-06-03,3,MUNICIPAL,Dia de Corpus Christi,SP,3501608.0,2021,6,June,Não
2021-06-13,13,MUNICIPAL,Dia de Santo Antônio,SP,3501608.0,2021,6,June,Não
2021-11-21,21,MUNICIPAL,Comemorações do Dia da Consciência Negra em Americana ocorrem no Terceiro Domingo do mês de Novembro,SP,3501608.0,2021,11,November,Não
2021-03-21,21,MUNICIPAL,,SP,3501707.0,2021,3,March,Não
2021-11-20,20,MUNICIPAL,Lei Municipal No 00022/2007,SP,3501707.0,2021,11,November,Não
2021-06-24,24,MUNICIPAL,,SP,3501806.0,2021,6,June,Não
2021-11-20,20,MUNICIPAL,,SP,3501806.0,2021,11,November,Não
2021-04-08,8,MUNICIPAL,,SP,3501905.0,2021,4,April,Não
2021-09-08,8,MUNICIPAL,,SP,3501905.0,2021,9,September,Não
2021-11-20,20,MUNICIPAL,Lei Municipal No 03043/2004,SP,3501905.0,2021,11,November,Não
2021-06-21,21,MUNICIPAL,,SP,3502002.0,2021,6,June,Não
2021-07-26,26,MUNICIPAL,,SP,3502002.0,2021,7,July,Não
2021-11-20,20,MUNICIPAL,,SP,3502002.0,2021,11,November,Não
2021-12-08,8,MUNICIPAL,,SP,3502002.0,2021,12,December,Não
2021-01-20,20,MUNICIPAL,,SP,3502101.0,2021,1,January,Não
2021-07-11,11,MUNICIPAL,,SP,3502101.0,2021,7,July,Não
2021-03-11,11,MUNICIPAL,Feriado Municipal,SP,3502200.0,2021,3,March,Não
2021-04-15,15,MUNICIPAL,,SP,3502309.0,2021,4,April,Não
2021-09-08,8,MUNICIPAL,,SP,3502309.0,2021,9,September,Não
2021-11-20,20,MUNICIPAL,,SP,3502309.0,2021,11,November,Não
2021-08-06,6,MUNICIPAL,,SP,3502408.0,2021,8,August,Não
2021-12-13,13,MUNICIPAL,,SP,3502408.0,2021,12,December,Não
2021-11-20,20,MUNICIPAL,Lei Municipal No 03410/2006,SP,3502507.0,2021,11,November,Não
2021-12-17,17,MUNICIPAL,Feriado Municipal,SP,3502507.0,2021,12,December,Não
2021-03-22,22,MUNICIPAL,,SP,3502606.0,2021,3,March,Não
2021-06-13,13,MUNICIPAL,Dia de Santo Antônio,SP,3502705.0,2021,6,June,Não
2021-08-14,14,MUNICIPAL,Feriado Municipal,SP,3502705.0,2021,8,August,Não
2021-05-19,19,MUNICIPAL,,SP,3502754.0,2021,5,May,Não
2021-09-16,16,MUNICIPAL,,SP,3502754.0,2021,9,September,Não
2021-11-20,20,MUNICIPAL,Lei Municipal No 06924/07,SP,3502804.0,2021,11,November,Não
2021-12-02,2,MUNICIPAL,Aniversário de Araçatuba,SP,3502804.0,2021,12,December,Não
2021-04-07,7,MUNICIPAL,,SP,3502903.0,2021,4,April,Não
2021-09-15,15,MUNICIPAL,,SP,3502903.0,2021,9,September,Não
2021-11-20,20,MUNICIPAL,Lei Municipal No. 1.675 DE 14 de setembro de 2009,SP,3502903.0,2021,11,November,Não
2021-04-04,4,MUNICIPAL,,SP,3503000.0,2021,4,April,Não
2021-06-13,13,MUNICIPAL,,SP,3503000.0,2021,6,June,Não
2021-11-20,20,MUNICIPAL,,SP,3503000.0,2021,11,November,Não
2021-03-19,19,MUNICIPAL,Dia de São José,SP,3503109.0,2021,3,March,Não
2021-08-15,15,MUNICIPAL,,SP,3503109.0,2021,8,August,Não
2021-11-30,30,MUNICIPAL,,SP,3503109.0,2021,11,November,Não
2021-08-22,22,MUNICIPAL,,SP,3503208.0,2021,8,August,Não
2021-11-20,20,MUNICIPAL,Lei Municipal No 06633/07,SP,3503208.0,2021,11,November,Não
2021-08-15,15,MUNICIPAL,Feriado Municipal,SP,3503307.0,2021,8,August,Não
2021-11-20,20,MUNICIPAL,Lei Municipal No. 4.258/2009,SP,3503307.0,2021,11,November,Não
2021-04-01,1,MUNICIPAL,,SP,3503406.0,2021,4,April,Não
2021-11-25,25,MUNICIPAL,,SP,3503406.0,2021,11,November,Não
2021-08-15,15,MUNICIPAL,,SP,3503604.0,2021,8,August,Não
2021-09-14,14,MUNICIPAL,,SP,3503604.0,2021,9,September,Não
2021-04-10,10,MUNICIPAL,,SP,3503703.0,2021,4,April,Não
2021-06-24,24,MUNICIPAL,,SP,3503703.0,2021,6,June,Não
2021-04-10,10,MUNICIPAL,Feriado Municipal,SP,3503802.0,2021,4,April,Não
2021-09-15,15,MUNICIPAL,Feriado Municipal,SP,3503802.0,2021,9,September,Não
2021-06-08,8,MUNICIPAL,Feriado Municipal,SP,3503901.0,2021,6,June,Não
2021-08-06,6,MUNICIPAL,Feriado Municipal,SP,3503901.0,2021,8,August,Não
2021-11-20,20,MUNICIPAL,,SP,3503901.0,2021,11,November,Não
2021-07-01,1,MUNICIPAL,Feriado Municipal,SP,3504008.0,2021,7,July,Não
2021-04-02,2,MUNICIPAL,"Sexta-Feira Santa conforme Lei 978/67, de 03 de Maio de 1967",SP,3504107.0,2021,4,April,Não
2021-06-03,3,MUNICIPAL,"Corpus Christi conforme Lei 978/67, de 03 de Maio de 1967",SP,3504107.0,2021,6,June,Não
2021-06-24,24,MUNICIPAL,"Aniversário de Atibaia, conforme Lei 978/67, de 03 de Maio de 1967",SP,3504107.0,2021,6,June,Não
2021-11-02,2,MUNICIPAL,"Dia de Finados, conforme Lei 978/67, de 03 de Maio de 1967",SP,3504107.0,2021,11,November,Não
2021-11-20,20,MUNICIPAL,,SP,3504206.0,2021,11,November,Não
2021-01-20,20,MUNICIPAL,,SP,3504305.0,2021,1,January,Não
2021-12-02,2,MUNICIPAL,,SP,3504305.0,2021,12,December,Não
2021-12-13,13,MUNICIPAL,,SP,3504404.0,2021,12,December,Não
2021-12-29,29,MUNICIPAL,,SP,3504404.0,2021,12,December,Não
2021-09-15,15,MUNICIPAL,,SP,3504503.0,2021,9,September,Não
2021-01-20,20,MUNICIPAL,Feriado Municipal,SP,3504602.0,2021,1,January,Não
2021-02-18,18,MUNICIPAL,Feriado Municipal,SP,3504602.0,2021,2,February,Não
2021-12-08,8,MUNICIPAL,Feriado Municipal,SP,3504602.0,2021,12,December,Não
2021-06-24,24,MUNICIPAL,,SP,3504701.0,2021,6,June,Não
2021-12-08,8,MUNICIPAL,,SP,3504701.0,2021,12,December,Não
2021-11-17,17,MUNICIPAL,,SP,3504800.0,2021,11,November,Não
2021-12-08,8,MUNICIPAL,,SP,3504800.0,2021,12,December,Não
2021-07-10,10,MUNICIPAL,,SP,3504909.0,2021,7,July,Não
2021-08-06,6,MUNICIPAL,,SP,3504909.0,2021,8,August,Não
2021-11-20,20,MUNICIPAL,Lei Municipal No 0004 de 03/03/2009,SP,3504909.0,2021,11,November,Não
2021-01-31,31,MUNICIPAL,,SP,3505104.0,2021,1,January,Não
2021-08-29,29,MUNICIPAL,,SP,3505104.0,2021,8,August,Não
2021-11-20,20,MUNICIPAL,,SP,3505104.0,2021,11,November,Não
2021-06-16,16,MUNICIPAL,Feriado Municipal,SP,3505203.0,2021,6,June,Não
2021-09-15,15,MUNICIPAL,Feriado Municipal,SP,3505203.0,2021,9,September,Não
2021-03-19,19,MUNICIPAL,Dia de São José,SP,3505302.0,2021,3,March,Não
2021-03-21,21,MUNICIPAL,,SP,3505401.0,2021,3,March,Não
2021-08-19,19,MUNICIPAL,,SP,3505401.0,2021,8,August,Não
2021-08-25,25,MUNICIPAL,,SP,3505500.0,2021,8,August,Não
2021-11-20,20,MUNICIPAL,"Lei Municipal No 4151, de 04.02.2009",SP,3505500.0,2021,11,November,Não
2021-06-24,24,MUNICIPAL,,SP,3505609.0,2021,6,June,Não
2021-11-20,20,MUNICIPAL,,SP,3505609.0,2021,11,November,Não
2021-12-30,30,MUNICIPAL,,SP,3505609.0,2021,12,December,Não
2021-06-24,24,MUNICIPAL,conforme Lei Municipal nº 354 de 16/03/1982,SP,3505708.0,2021,6,June,Não
2021-11-20,20,MUNICIPAL,"Lei Municipal No 1639, de 01/03/2007",SP,3505708.0,2021,11,November,Não
2021-06-18,18,MUNICIPAL,Feriado Municipal,SP,3505807.0,2021,6,June,Não
2021-12-03,3,MUNICIPAL,Feriado Municipal,SP,3505807.0,2021,12,December,Não
2021-03-14,14,MUNICIPAL,,SP,3505906.0,2021,3,March,Não
2021-08-06,6,MUNICIPAL,,SP,3505906.0,2021,8,August,Não
2021-08-01,1,MUNICIPAL,conforme Lei Municipal nº 1.401 de 16/08/1968,SP,3506003.0,2021,8,August,Não
2021-05-03,3,MUNICIPAL,,SP,3506102.0,2021,5,May,Não
2021-06-24,24,MUNICIPAL,,SP,3506102.0,2021,6,June,Não
2021-03-27,27,MUNICIPAL,,SP,3506201.0,2021,3,March,Não
2021-08-15,15,MUNICIPAL,,SP,3506201.0,2021,8,August,Não
2021-11-20,20,MUNICIPAL,,SP,3506201.0,2021,11,November,Não
2021-08-15,15,MUNICIPAL,,SP,3506300.0,2021,8,August,Não
2021-10-09,9,MUNICIPAL,,SP,3506300.0,2021,10,October,Não
2021-05-19,19,MUNICIPAL,Emancipação Político-administrativo,SP,3506359.0,2021,5,May,Não
2021-06-24,24,MUNICIPAL,"Dia de São João Batista, padroeiro do município",SP,3506359.0,2021,6,June,Não
2021-11-20,20,MUNICIPAL,Dia da Consciência Negra,SP,3506359.0,2021,11,November,Não
2021-04-18,18,MUNICIPAL,Feriado Municipal,SP,3506409.0,2021,4,April,Não
2021-09-08,8,MUNICIPAL,Feriado Municipal,SP,3506409.0,2021,9,September,Não
2021-12-08,8,MUNICIPAL,Dia da Padroeira da Cidade,SP,3506508.0,2021,12,December,Não
2021-05-05,5,MUNICIPAL,,SP,3506607.0,2021,5,May,Não
2021-01-20,20,MUNICIPAL,,SP,3506706.0,2021,1,January,Não
2021-07-21,21,MUNICIPAL,,SP,3506706.0,2021,7,July,Não
2021-11-20,20,MUNICIPAL,,SP,3506706.0,2021,11,November,Não
2021-06-24,24,MUNICIPAL,,SP,3506805.0,2021,6,June,Não
2021-12-08,8,MUNICIPAL,Feriado de Nossa Senhora da Conceição,SP,3506805.0,2021,12,December,Não
2021-09-09,9,MUNICIPAL,Feriado Municipal,SP,3506904.0,2021,9,September,Não
2021-11-20,20,MUNICIPAL,,SP,3506904.0,2021,11,November,Não
2021-08-16,16,MUNICIPAL,Feriado Municipal,SP,3507001.0,2021,8,August,Não
2021-09-06,6,MUNICIPAL,Feriado Municipal,SP,3507001.0,2021,9,September,Não
2021-05-22,22,MUNICIPAL,Aniversário da Cidade de Bom Jesus dos Perdões,SP,3507100.0,2021,5,May,Não
2021-08-06,6,MUNICIPAL,Feriado Municipal,SP,3507100.0,2021,8,August,Não
2021-03-31,31,MUNICIPAL,,SP,3507209.0,2021,3,March,Não
2021-06-13,13,MUNICIPAL,,SP,3507209.0,2021,6,June,Não
2021-01-20,20,MUNICIPAL,,SP,3507407.0,2021,1,January,Não
2021-03-21,21,MUNICIPAL,,SP,3507407.0,2021,3,March,Não
2021-11-20,20,MUNICIPAL,"Lei Municipal No 2471, de 10.10.2008",SP,3507407.0,2021,11,November,Não
2021-04-02,2,MUNICIPAL,Sexta-Feira Santa,SP,3507506.0,2021,4,April,Não
2021-04-14,14,MUNICIPAL,Aniversário da Cidade,SP,3507506.0,2021,4,April,Não
2021-06-03,3,MUNICIPAL,Corpus Christi,SP,3507506.0,2021,6,June,Não
2021-07-26,26,MUNICIPAL,Dia de SantAnna,SP,3507506.0,2021,7,July,Não
2021-11-20,20,MUNICIPAL,,SP,3507605.0,2021,11,November,Não
2021-12-08,8,MUNICIPAL,Feriado Municipal,SP,3507605.0,2021,12,December,Não
2021-01-20,20,MUNICIPAL,,SP,3507704.0,2021,1,January,Não
2021-11-20,20,MUNICIPAL,,SP,3507704.0,2021,11,November,Não
2021-08-22,22,MUNICIPAL,,SP,3507803.0,2021,8,August,Não
2021-12-08,8,MUNICIPAL,,SP,3507803.0,2021,12,December,Não
2021-05-03,3,MUNICIPAL,Feriado Municipal,SP,3507902.0,2021,5,May,Não
2021-09-15,15,MUNICIPAL,Feriado Municipal,SP,3507902.0,2021,9,September,Não
2021-01-25,25,MUNICIPAL,,SP,3508009.0,2021,1,January,Não
2021-06-13,13,MUNICIPAL,,SP,3508009.0,2021,6,June,Não
2021-08-16,16,MUNICIPAL,,SP,3508009.0,2021,8,August,Não
2021-11-20,20,MUNICIPAL,,SP,3508009.0,2021,11,November,Não
2021-08-24,24,MUNICIPAL,Feriado Municipal,SP,3508108.0,2021,8,August,Não
2021-11-20,20,MUNICIPAL,,SP,3508108.0,2021,11,November,Não
2021-12-08,8,MUNICIPAL,Feriado Municipal,SP,3508108.0,2021,12,December,Não
2021-07-28,28,MUNICIPAL,,SP,3508207.0,2021,7,July,Não
2021-09-08,8,MUNICIPAL,,SP,3508207.0,2021,9,September,Não
2021-08-06,6,MUNICIPAL,,SP,3508306.0,2021,8,August,Não
2021-12-26,26,MUNICIPAL,,SP,3508306.0,2021,12,December,Não
2021-03-24,24,MUNICIPAL,,SP,3508405.0,2021,3,March,Não
2021-09-15,15,MUNICIPAL,,SP,3508405.0,2021,9,September,Não
2021-11-20,20,MUNICIPAL,Lei Municipal No 1765 de 09 11 2006,SP,3508405.0,2021,11,November,Não
2021-04-14,14,MUNICIPAL,,SP,3508504.0,2021,4,April,Não
2021-06-24,24,MUNICIPAL,,SP,3508504.0,2021,6,June,Não
2021-03-09,9,MUNICIPAL,,SP,3508603.0,2021,3,March,Não
2021-06-13,13,MUNICIPAL,,SP,3508603.0,2021,6,June,Não
2021-11-20,20,MUNICIPAL,,SP,3508603.0,2021,11,November,Não
2021-04-02,2,MUNICIPAL,Sexta-Feira Santa,SP,3508702.0,2021,4,April,Não
2021-04-27,27,MUNICIPAL," Aniversário de Ranieri Mazzilli. Lei Municipal nº 2255, de 14 de dezembro de 2005",SP,3508702.0,2021,4,April,Não
2021-06-03,3,MUNICIPAL,"conforme Lei Municipal nº 950, de 30 de setembro de 1969",SP,3508702.0,2021,6,June,Não
